Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
3replicas_scenario2_500rps,3,Baseline2,500,496.66,83.45,68.0,92.0,133.0,264.0,1100.0
3replicas_scenario2_1000rps,3,Baseline2,1000,979.99,546.48,443.0,717.0,1050.0,1800.0,3410.0
3replicas_scenario2_1500rps,3,Baseline2,1500,1495.4,78.22,70.0,83.0,109.0,197.0,2460.0
3replicas_scenario2_2000rps,3,Baseline2,2000,1994.99,78.43,70.0,81.0,101.0,203.0,2510.0
3replicas_scenario2_2500rps,3,Baseline2,2500,2493.96,83.17,73.0,88.0,118.0,206.0,1500.0
3replicas_scenario3_500rps,3,Baseline3,500,488.47,679.12,560.0,940.0,1310.0,2080.0,2910.0
3replicas_scenario3_1000rps,3,Baseline3,1000,979.98,740.31,639.0,1000.0,1380.0,2210.0,3250.0
3replicas_scenario3_1500rps,3,Baseline3,1500,1471.7,410.43,306.0,580.0,814.0,1310.0,4440.0
3replicas_scenario3_2000rps,3,Baseline3,2000,1994.96,79.06,70.0,82.0,107.0,196.0,2230.0
3replicas_scenario3_2500rps,3,Baseline3,2500,2454.96,890.0,826.0,1200.0,1580.0,2290.0,3420.0
3replicas_scenario4_500rps,3,Baseline4,500,496.66,92.68,68.0,89.0,155.0,469.0,1700.0
3replicas_scenario4_1000rps,3,Baseline4,1000,996.66,85.06,69.0,79.0,116.0,432.0,1340.0
3replicas_scenario4_1500rps,3,Baseline4,1500,1495.55,73.81,69.0,81.0,97.0,142.0,1830.0
3replicas_scenario4_2000rps,3,Baseline4,2000,1994.99,78.89,67.0,80.0,114.0,239.0,2410.0
3replicas_scenario4_2500rps,3,Baseline4,2500,2455.01,812.61,747.0,1110.0,1450.0,2180.0,3380.0
3replicas_scenario5_500rps,3,1_iBench_CPU_pod,500,488.4,445.23,330.0,575.0,940.0,1630.0,4780.0
3replicas_scenario5_1000rps,3,1_iBench_CPU_pod,1000,980.0,463.69,372.0,602.0,900.0,1630.0,3230.0
3replicas_scenario5_1500rps,3,1_iBench_CPU_pod,1500,1471.66,490.18,412.0,633.0,900.0,1650.0,3040.0
3replicas_scenario5_2000rps,3,1_iBench_CPU_pod,2000,1963.31,426.45,351.0,554.0,771.0,1510.0,4320.0
3replicas_scenario5_2500rps,3,1_iBench_CPU_pod,2500,2454.97,686.49,584.0,940.0,1250.0,2040.0,3790.0
3replicas_scenario6_500rps,3,2_iBench_CPU_pods,500,488.37,675.35,533.0,920.0,1350.0,2210.0,3680.0
3replicas_scenario6_1000rps,3,2_iBench_CPU_pods,1000,996.65,87.23,69.0,80.0,116.0,463.0,2000.0
3replicas_scenario6_1500rps,3,2_iBench_CPU_pods,1500,1495.4,78.78,70.0,84.0,110.0,199.0,2390.0
3replicas_scenario6_2000rps,3,2_iBench_CPU_pods,2000,1963.28,744.3,643.0,1030.0,1350.0,2160.0,3680.0
3replicas_scenario6_2500rps,3,2_iBench_CPU_pods,2500,2493.98,70.81,66.0,77.0,94.0,140.0,2620.0
3replicas_scenario7_500rps,3,3_iBench_CPU_pods,500,496.66,107.73,73.0,120.0,187.0,531.0,1880.0
3replicas_scenario7_1000rps,3,3_iBench_CPU_pods,1000,996.66,106.92,74.0,119.0,182.0,472.0,3260.0
